feature,shap_importance
conso_exurb,0.3617948889732361
conso_mixte,0.2556541860103607
masse_ordma_max,0.033200837671756744
nox,0.02744932472705841
conso_urb,0.02617482654750347
hc,0.01714853197336197
cod_cbr,0.013973112218081951
puiss_admin_98,0.01235119253396988
co_typ_1,0.010020580142736435
masse_ordma_min,0.005212857387959957
typ_boite_nb_rapp,0.0037015497218817472
puiss_max,0.0032686141785234213
lib_mod_doss,0.0026987572200596333
hcnox,0.00218771630898118
gamme,0.002156357979401946
lib_mrq,0.001418493571691215
lib_mod,0.0011410617735236883
champ_v9,0.0008578652050346136
hybride,0.0005840660305693746
Carrosserie,0.00045408171718008816
ptcl,0.0004206760204397142
dscom,0.0004084181855432689
tvv_639,0.0003088683297391981
date_maj,6.22690495220013e-05
tvv_906ac35,5.5146610975498334e-05
tvv_ukl,4.992757021682337e-05
tvv_gyl15,3.288942025392316e-05
tvv_xe2,1.9561861336114816e-05
tvv_gwl10,1.604794670129195e-05
tvv_ea,1.5196053936961107e-05
tvv_0g,1.3527220289688557e-05
tvv_1k,1.2755953321175184e-05
tvv_betqhw,1.1347499821567908e-05
tvv_bexqbw,1.0863011993933469e-05
tvv_2h,1.0041283530881628e-05
tvv_e15ut,6.900670996401459e-06
tvv_ps,6.120507350715343e-06
tvv_ahxebw,5.366849563870346e-06
tvv_bexehw,4.727186023956165e-06
tvv_1s,4.66744586447021e-06
tvv_usf40,4.011463715869468e-06
tvv_awl10,4.0042727960099e-06
tvv_3l,3.7137308481760556e-06
tvv_nsp120l,3.3872511266963556e-06
tvv_mh,2.271428911626572e-06
cnit_m10fatvp001j854,2.062082330667181e-06
tvv_ksp130l,1.7403559695594595e-06
tvv_grl11r,1.6297944966936484e-06
tvv_xa3,1.5165946933848318e-06
tvv_aexlhw,1.3678934465133352e-06
tvv_aexghw,1.3048171467744396e-06
tvv_a10,1.1893121154571418e-06
tvv_aezghw,1.1218256759093492e-06
tvv_1g,1.0999669939337764e-06
cnit_m10alfvp000p445,1.0885642041102983e-06
tvv_zwa10l,9.852061566562043e-07
cnit_m10fatvp0262849,9.831417173700174e-07
cnit_m10mcdvpgw7d756,9.654647783463588e-07
cnit_m10mcdvpgw7b427,9.586041187503724e-07
cnit_m10mcdvpgw7h433,9.57260681389016e-07
tvv_bexqhw,7.924190867925063e-07
tvv_xp13m,7.704085192017374e-07
cnit_m10mcdvpgw71744,7.570707225568185e-07
cnit_m10mcdvpgw74747,7.515962465731718e-07
tvv_3k,7.264926011885109e-07
tvv_hc,6.109505648055347e-07
cnit_m10mcdvpgw7j302,5.888440455237287e-07
cnit_m10fatvp0008360,5.672135330314632e-07
tvv_2j,5.276668275655538e-07
tvv_2e,5.145561772224028e-07
tvv_hs19,4.6992226998554543e-07
tvv_2l,4.276102458788955e-07
tvv_2k,4.219352263135079e-07
tvv_00,4.17773577510161e-07
tvv_1ps,4.042317129915318e-07
cnit_m10mcdvpgw7j725,3.9564091025567905e-07
tvv_ahxbbw,3.5590989000411355e-07
